customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,profit
1,Laraine,Medendorp,F,93,10/12/1953,Executive Secretary,Health,Mass Customer,N,Yes,11,67,3018.09
2,Eli,Bockman,Male,81,12/16/1980,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,40,2226.26
3,Arlin,Dearle,Male,61,1/20/1954,Recruiting Manager,Property,Mass Customer,N,Yes,15,66,3362.81
4,Talbot,,Male,33,10/3/1961,,IT,Mass Customer,N,No,7,59,220.57
5,Sheila-kathryn,Calton,Female,56,5/13/1977,Senior Editor,n/a,Affluent Customer,N,Yes,8,43,2394.94
6,Curr,Duckhouse,Male,35,9/16/1966,,Retail,High Net Worth,N,Yes,13,54,3946.55
7,Fina,Merali,Female,6,2/23/1976,,Financial Services,Affluent Customer,N,Yes,11,44,220.11
8,Rod,Inder,Male,31,3/30/1962,Media Manager I,n/a,Mass Customer,N,No,7,58,7066.94
9,Mala,Lind,Female,97,3/10/1973,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,47,2353.11
10,Fiorenze,Birdall,Female,49,10/11/1988,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20,32,3358.28
11,Uriah,Bisatt,Male,99,4/30/1954,,Property,Mass Customer,N,No,9,66,3638.84
12,Sawyere,Flattman,Male,58,7/21/1994,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,26,3540.03
13,Gabriele,Norcross,Male,38,2/15/1955,Developer I,Financial Services,High Net Worth,N,Yes,8,65,4337.38
14,Rayshell,Kitteman,Female,85,3/25/1983,Account Executive,Financial Services,Affluent Customer,N,No,6,37,1713.9
15,Erroll,Radage,Male,91,7/13/2000,Junior Executive,Manufacturing,Mass Customer,N,No,1,20,1728.39
16,Harlin,Parr,Male,38,2/27/1977,Media Manager IV,n/a,Mass Customer,N,Yes,18,43,4521.84
17,Heath,Faraday,Male,57,3/19/1962,Sales Associate,n/a,Affluent Customer,N,Yes,15,58,2015.61
18,Marjie,Neasham,Female,79,7/6/1967,Professor,n/a,Affluent Customer,N,No,11,53,3543.38
19,Sorcha,Keyson,Female,76,4/15/2001,Geological Engineer,Manufacturing,High Net Worth,N,No,1,19,2951.79
20,Basile,Firth,Male,72,8/13/1980,Project Manager,Manufacturing,Mass Customer,N,No,11,40,3608.28
21,Mile,Cammocke,Male,74,9/20/1980,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16,40,4229.41
22,Deeanne,Durtnell,Female,79,12/10/1962,,IT,Mass Customer,N,No,11,58,5159.84
23,Olav,Polak,Male,43,2/10/1995,,n/a,High Net Worth,N,Yes,1,25,4376.15
24,Kim,Skpsey,Female,55,12/3/1977,Research Assistant I,Argiculture,Mass Customer,N,Yes,15,43,3689.35
25,Geoff,Assaf,Male,72,12/2/1976,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21,44,5333.66
26,Trixi,Ginnelly,Female,12,6/10/1978,Editor,Financial Services,Mass Customer,N,Yes,16,42,268.24
27,Garvin,Klees,Male,37,9/25/1978,Research Nurse,Health,Mass Customer,N,Yes,12,42,3274.25
28,Fee,Zellmer,Male,5,9/30/1973,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21,47,3366.56
29,Mona,Sancraft,Female,62,6/22/1968,Safety Technician III,Manufacturing,Mass Customer,N,No,19,52,6175.3
30,Darrick,Helleckas,Male,18,10/18/1961,,IT,Affluent Customer,N,Yes,6,59,2633.95
31,Star,Praton,Female,3,11/24/1962,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14,58,426.11
32,Marion,Vanichkin,Female,17,4/20/1995,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,25,2823.12
33,Ernst,Hacon,Male,44,6/25/1957,Product Engineer,n/a,Affluent Customer,N,Yes,11,63,5294.27
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20,,4825.59
35,Margaretha,Strettle,Female,40,9/28/1963,Information Systems Manager,Health,High Net Worth,N,Yes,16,57,3706.51
36,Lurette,Stonnell,Female,33,11/9/1977,VP Quality Control,n/a,Affluent Customer,N,No,22,43,204.36
37,Laurie,Dwerryhouse,Female,46,12/22/1985,Social Worker,Health,High Net Worth,N,No,16,35,6338.49
38,Cordi,Merman,Female,37,10/29/1955,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20,65,2025.34
39,Hunfredo,Smalley,Male,5,4/16/1979,Assistant Media Planner,Entertainment,Mass Customer,N,No,22,41,6085.17
40,Tomasine,Jerche,Female,91,10/27/1981,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14,39,4552.1
41,Basilius,Coupe,Male,64,4/14/1976,Food Chemist,Health,Mass Customer,N,No,16,44,4698.89
42,Chiquita,Durnall,Female,24,3/28/1977,Accountant III,Manufacturing,Mass Customer,N,No,18,43,427.04
43,Indira,Belt,Female,38,3/1/1983,Director of Sales,Retail,Mass Customer,N,No,5,37,3619.95
44,Neron,Verick,Male,63,10/18/1981,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,39,4768.28
45,Trace,Woodhead,Male,64,9/23/1975,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8,45,1048.15
46,Kaila,Allin,Female,98,2/26/1972,,n/a,Affluent Customer,N,Yes,15,48,1623.63
